oid,uid,Date,product_name,pid
1,1808,21-07-2020,tropical fruit,156
1,2552,5/1/2020,Whole milk,164
1,2300,19-09-2020,pip fruit,109
1,1187,12/12/2020,other vegetables,102
1,3037,1/2/2020,whole milk,164
2,4941,14-02-2020,rolls/buns,122
2,4501,8/5/2020,other vegetables,102
2,3803,23-12-2020,pot plants,112
2,2762,20-03-2020,whole milk,164
2,4119,12/2/2015,tropical fruit,156
11,1340,24-02-2015,citrus fruit,30
12,2193,14-04-2015,beef,8
13,1997,21-07-2015,frankfurter,56
14,4546,3/9/2015,chicken,27
15,4736,21-07-2015,butter,15
16,1959,30-03-2015,fruit/vegetable juice,64
17,1974,3/5/2015,packaged fruit/vegetables,103
18,2421,2/9/2015,chocolate,28
19,1513,3/8/2015,specialty bar,143
20,1905,7/7/2015,other vegetables,102
21,2810,8/9/2015,butter milk,16
22,2867,12/11/2015,whole milk,164
23,3962,18-09-2015,tropical fruit,156
24,1088,30-11-2015,tropical fruit,156
25,4976,17-07-2015,bottled water,12
26,4056,12/6/2015,yogurt,165
27,3611,13-02-2015,sausage,130
28,1420,14-01-2015,other vegetables,102
29,4286,8/3/2015,brown bread,14
30,4918,27-01-2015,yogurt,165
31,4783,22-10-2015,hamburger meat,68
32,3709,26-10-2015,root vegetables,123
33,4289,8/10/2015,pork,111
34,1559,3/10/2015,beef,8
35,2900,11/4/2015,pastry,105
36,1905,21-02-2015,fruit/vegetable juice,64
37,3527,29-09-2015,canned beer,20
38,1495,9/1/2015,root vegetables,123
39,3558,3/4/2015,citrus fruit,30
40,3128,20-04-2015,sausage,130
41,1863,4/8/2015,tropical fruit,156
42,3841,19-07-2015,berries,9
43,3903,6/10/2015,canned beer,20
44,2658,16-10-2015,butter milk,16
45,4272,6/6/2015,coffee,34
46,1120,26-09-2015,pastry,105
47,2676,15-08-2015,rolls/buns,122
48,1697,21-05-2015,misc. beverages,92
49,2507,25-08-2015,root vegetables,123
50,4620,11/3/2015,sausage,130
51,3365,1/2/2015,canned beer,20
52,2978,5/6/2015,ham,67
53,2910,28-07-2015,turkey,157
54,1061,5/9/2015,whole milk,164
55,3276,3/4/2015,whole milk,164
56,1326,19-06-2015,packaged fruit/vegetables,103
57,3023,28-07-2015,rolls/buns,122
58,2185,11/10/2015,ham,67
59,3552,16-06-2015,rolls/buns,122
60,1967,20-01-2015,other vegetables,102
61,4708,20-03-2015,sausage,130
62,2874,15-02-2015,sausage,130
63,4177,13-04-2015,frankfurter,56
64,1663,7/2/2015,rolls/buns,122
65,2632,2/3/2015,whole milk,164
66,1377,14-03-2015,curd cheese,41
67,4162,22-12-2015,red/blush wine,119
68,2270,1/7/2015,sausage,130
69,4829,3/11/2015,tropical fruit,156
70,3811,14-04-2015,red/blush wine,119
71,4766,29-09-2015,whole milk,164
72,2436,12/4/2015,frankfurter,56
73,3860,5/5/2015,whole milk,164
74,4875,12/5/2015,frozen potato products,62
75,1587,1/7/2015,other vegetables,102
76,4038,8/7/2015,citrus fruit,30
77,4750,21-09-2015,flour,53
78,1199,10/12/2015,sugar,150
79,1603,30-09-2015,frozen meals,61
80,3111,31-01-2015,chocolate,28
81,3894,13-12-2015,root vegetables,123
82,1456,18-09-2015,root vegetables,123
83,2022,4/3/2015,herbs,70
84,2505,30-11-2015,bottled water,12
85,4851,20-12-2015,sausage,130
86,4293,4/8/2015,coffee,34
87,2775,6/11/2015,pork,111
88,3693,18-02-2015,berries,9
89,1202,22-07-2015,soda,138
90,3699,23-08-2015,berries,9
91,4152,15-04-2015,fruit/vegetable juice,64
92,4155,26-01-2015,citrus fruit,30
93,4010,29-12-2015,pork,111
94,4389,20-10-2015,detergent,45
95,3746,17-08-2015,grapes,65
96,2560,17-05-2015,sausage,130
97,1503,25-07-2015,chicken,27
98,2555,23-12-2015,whole milk,164
99,3645,12/12/2015,citrus fruit,30
100,3886,11/9/2015,soda,138
101,2932,20-03-2015,sausage,130
102,1711,18-06-2015,frankfurter,56
103,4291,8/12/2015,sausage,130
104,1143,25-04-2015,soda,138
105,4564,8/7/2015,rolls/buns,122
106,3337,14-05-2015,beef,8
107,4931,4/5/2015,whole milk,164
108,2623,10/10/2015,processed cheese,115
109,4581,3/4/2015,tropical fruit,156
110,2635,11/6/2015,frankfurter,56
111,1095,30-10-2015,packaged fruit/vegetables,103
112,2990,23-05-2015,whole milk,164
113,2426,5/6/2015,berries,9
114,4555,7/11/2015,citrus fruit,30
115,3635,4/9/2015,tropical fruit,156
116,3058,18-05-2015,hamburger meat,68
117,4391,26-03-2015,hamburger meat,68
118,1306,23-06-2015,whole milk,164
119,1024,10/8/2015,fish,52
120,1295,23-07-2015,frankfurter,56
121,1661,1/6/2015,packaged fruit/vegetables,103
122,4591,15-05-2015,pastry,105
123,3169,14-06-2015,other vegetables,102
124,3915,21-05-2015,misc. beverages,92
125,1127,14-01-2015,frankfurter,56
126,4828,8/8/2015,sparkling wine,142
127,3683,10/6/2015,specialty bar,143
128,1971,18-09-2015,sausage,130
129,3014,11/11/2015,curd cheese,41
130,3779,15-09-2015,frankfurter,56
131,2489,4/5/2015,whole milk,164
132,3564,27-06-2015,newspapers,95
133,4092,30-09-2015,berries,9
134,3221,13-01-2015,curd,40
135,1279,6/9/2015,tropical fruit,156
136,2581,22-08-2015,soda,138
137,2295,25-02-2015,rolls/buns,122
138,4760,22-02-2015,canned beer,20
139,3649,16-01-2015,canned beer,20
140,1075,19-11-2015,frankfurter,56
141,3987,19-08-2015,other vegetables,102
142,4106,25-08-2015,whole milk,164
143,4338,24-06-2015,whole milk,164
144,4166,6/11/2015,citrus fruit,30
145,1211,10/3/2015,frankfurter,56
146,3954,21-01-2015,frankfurter,56
147,3928,18-07-2015,butter milk,16
