oid,uid,Date,product_name,pid
1,1829,02/04/2020,tropical fruit,156
1,1829,02/04/2020,Whole milk,164
1,1829,02/04/2020,pip fruit,109
1,1829,02/04/2020,other vegetables,102
1,1829,02/04/2020,whole milk,164
2,46,02/04/2020,rolls/buns,122
2,46,02/04/2020,other vegetables,102
2,46,02/04/2020,pot plants,112
2,46,02/04/2020,whole milk,164
2,46,02/04/2020,tropical fruit,156
3,1877,15/09/2020,citrus fruit,30
3,1877,15/09/2020,beef,8
3,1877,15/09/2020,frankfurter,56
3,1877,15/09/2020,chicken,27
3,1877,15/09/2020,butter,15
4,258,15/09/2020,fruit/vegetable juice,64
4,258,15/09/2020,packaged fruit/vegetables,103
4,258,15/09/2020,chocolate,28
4,258,15/09/2020,specialty bar,143
4,258,15/09/2020,other vegetables,102
5,605,25/07/2020,butter milk,16
5,605,25/07/2020,whole milk,164
5,605,25/07/2020,tropical fruit,156
5,605,25/07/2020,tropical fruit,156
5,605,25/07/2020,bottled water,12
6,1702,25/07/2020,yogurt,165
6,1702,25/07/2020,sausage,130
6,1702,25/07/2020,other vegetables,102
6,1702,25/07/2020,brown bread,14
6,1702,25/07/2020,yogurt,165
7,1642,03/07/2020,hamburger meat,68
7,1642,03/07/2020,root vegetables,123
7,1642,03/07/2020,pork,111
7,1642,03/07/2020,beef,8
7,1642,03/07/2020,pastry,105
8,1340,03/07/2020,fruit/vegetable juice,64
8,1340,03/07/2020,canned beer,20
8,1340,03/07/2020,root vegetables,123
8,1340,03/07/2020,citrus fruit,30
8,1340,03/07/2020,sausage,130
9,25,05/07/2020,tropical fruit,156
9,25,05/07/2020,berries,9
9,25,05/07/2020,canned beer,20
9,25,05/07/2020,butter milk,16
9,25,05/07/2020,coffee,34
10,715,05/07/2020,pastry,105
10,715,05/07/2020,rolls/buns,122
10,715,05/07/2020,misc. beverages,92
10,715,05/07/2020,root vegetables,123
10,715,05/07/2020,sausage,130
11,1609,23/06/2020,canned beer,20
11,1609,23/06/2020,ham,67
11,1609,23/06/2020,turkey,157
11,1609,23/06/2020,whole milk,164
11,1609,23/06/2020,whole milk,164
12,484,23/06/2020,packaged fruit/vegetables,103
12,484,23/06/2020,rolls/buns,122
12,484,23/06/2020,ham,67
12,484,23/06/2020,rolls/buns,122
12,484,23/06/2020,other vegetables,102
13,672,23/05/2020,sausage,130
13,672,23/05/2020,sausage,130
13,672,23/05/2020,frankfurter,56
13,672,23/05/2020,rolls/buns,122
13,672,23/05/2020,whole milk,164
14,314,23/05/2020,curd cheese,41
14,314,23/05/2020,red/blush wine,119
14,314,23/05/2020,sausage,130
14,314,23/05/2020,tropical fruit,156
14,314,23/05/2020,red/blush wine,119
15,345,18/05/2020,whole milk,164
15,345,18/05/2020,frankfurter,56
15,345,18/05/2020,whole milk,164
15,345,18/05/2020,frozen potato products,62
15,345,18/05/2020,other vegetables,102
16,1023,18/05/2020,citrus fruit,30
16,1023,18/05/2020,flour,53
16,1023,18/05/2020,sugar,150
16,1023,18/05/2020,frozen meals,61
16,1023,18/05/2020,chocolate,28
17,941,19/05/2020,root vegetables,123
17,941,19/05/2020,root vegetables,123
17,941,19/05/2020,herbs,70
17,941,19/05/2020,bottled water,12
17,941,19/05/2020,sausage,130
18,989,19/05/2020,coffee,34
18,989,19/05/2020,pork,111
18,989,19/05/2020,berries,9
18,989,19/05/2020,soda,138
18,989,19/05/2020,berries,9
19,1646,11/07/2020,fruit/vegetable juice,64
19,1646,11/07/2020,citrus fruit,30
19,1646,11/07/2020,pork,111
19,1646,11/07/2020,detergent,45
19,1646,11/07/2020,grapes,65
20,737,11/07/2020,sausage,130
20,737,11/07/2020,chicken,27
20,737,11/07/2020,whole milk,164
20,737,11/07/2020,citrus fruit,30
20,737,11/07/2020,soda,138
21,1228,08/06/2020,sausage,130
21,1228,08/06/2020,frankfurter,56
21,1228,08/06/2020,sausage,130
21,1228,08/06/2020,soda,138
21,1228,08/06/2020,rolls/buns,122
22,639,08/06/2020,beef,8
22,639,08/06/2020,whole milk,164
22,639,08/06/2020,processed cheese,115
22,639,08/06/2020,tropical fruit,156
22,639,08/06/2020,frankfurter,56
23,688,08/07/2020,packaged fruit/vegetables,103
